customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit
398,"Tokyo Collectables, Ltd",Shimamura,Akiko,+81 3 3584 0555,2-2-8 Roppongi,No level,Minato-ku,Tokyo,106-0032,Japan,1621.0,94400.0
406,Auto Canal+ Petit,Perrier,Dominique,(1) 47.55.6555,"25, rue Lauriston",No level,Paris,No data,75016,France,1337.0,95000.0
409,Stuttgart Collectable Exchange,Müller,Rita ,0711-555361,Adenauerallee 900,No level,Stuttgart,No data,70563,Germany,0.0,0.0
412,"Extreme Desk Decorations, Ltd",McRoy,Sarah,04 499 9555,101 Lambton Quay,Level 11,Wellington,No data,No direction,New Zealand,1612.0,86800.0
415,"Bavarian Collectables Imports, Co.",Donnermeyer,Michael, +49 89 61 08 9555,Hansastr. 15,No level,Munich,No data,80686,Germany,1504.0,77000.0
424,Classic Legends Inc.,Hernandez,Maria,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,1286.0,67500.0
443,"Feuer Online Stores, Inc",Feuer,Alexander ,0342-555176,Heerstr. 22,No level,Leipzig,No data,04179,Germany,0.0,0.0
447,Gift Ideas Corp.,Lewis,Dan,2035554407,2440 Pompton St.,No level,Glendale,CT,97561,USA,1323.0,49700.0
448,Scandinavian Gift Ideas,Larsson,Martha,0695-34 6555,Åkergatan 24,No level,Bräcke,No data,S-844 67,Sweden,1504.0,116400.0
450,The Sharp Gifts Warehouse,Frick,Sue,4085553659,3086 Ingle Ln.,No level,San Jose,CA,94217,USA,1165.0,77600.0
452,Mini Auto Werke,Mendel,Roland ,7675-3555,Kirchgasse 6,No level,Graz,No data,8010,Austria,1401.0,45300.0
455,Super Scale Inc.,Murphy,Leslie,2035559545,567 North Pendale Street,No level,New Haven,CT,97823,USA,1286.0,95400.0
456,Microscale Inc.,Choi,Yu,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,1286.0,39800.0
458,"Corrida Auto Replicas, Ltd",Sommer,Martín ,(91) 555 22 82,"C/ Araquil, 67",No level,Madrid,No data,28023,Spain,1702.0,104600.0
459,Warburg Exchange,Ottlieb,Sven ,0241-039123,Walserweg 21,No level,Aachen,No data,52066,Germany,0.0,0.0
462,FunGiftIdeas.com,Benitez,Violeta,5085552555,1785 First Street,No level,New Bedford,MA,50553,USA,1216.0,85800.0
465,"Anton Designs, Ltd.",Anton,Carmen,+34 913 728555,"c/ Gobelas, 19-1 Urb. La Florida",No level,Madrid,No data,28023,Spain,0.0,0.0
471,"Australian Collectables, Ltd",Clenahan,Sean,61-9-3844-6555,7 Allen Street,No level,Glen Waverly,Victoria,3150,Australia,1611.0,60300.0
473,Frau da Collezione,Ricotti,Franco,+39 022515555,20093 Cologno Monzese,Alessandro Volta 16,Milan,No data,No direction,Italy,1401.0,34800.0
475,West Coast Collectables Co.,Thompson,Steve,3105553722,3675 Furth Circle,No level,Burbank,CA,94019,USA,1166.0,55400.0
477,Mit Vergnügen & Co.,Moos,Hanna ,0621-08555,Forsterstr. 57,No level,Mannheim,No data,68306,Germany,0.0,0.0
480,"Kremlin Collectables, Co.",Semenov,Alexander ,+7 812 293 0521,2 Pobedy Square,No level,Saint Petersburg,No data,196143,Russia,0.0,0.0
481,"Raanan Stores, Inc","Altagar,G M",Raanan,+ 972 9 959 8555,3 Hagalim Blv.,No level,Herzlia,No data,47625,Israel,0.0,0.0
484,"Iberia Gift Imports, Corp.",Roel,José Pedro ,(95) 555 82 82,"C/ Romero, 33",No level,Sevilla,No data,41101,Spain,1702.0,65700.0
486,Motor Mint Distributors Inc.,Salazar,Rosa,2155559857,11328 Douglas Av.,No level,Philadelphia,PA,71270,USA,1323.0,72600.0
487,Signal Collectibles Ltd.,Taylor,Sue,4155554312,2793 Furth Circle,No level,Brisbane,CA,94217,USA,1165.0,60300.0
489,"Double Decker Gift Stores, Ltd",Smith,Thomas ,(171) 555-7555,120 Hanover Sq.,No level,London,No data,WA1 1DP,UK,1501.0,43300.0
495,Diecast Collectables,Franco,Valarie,6175552555,6251 Ingle Ln.,No level,Boston,MA,51003,USA,1188.0,85100.0
496,Kelly's Gift Shop,Snowden,Tony,+64 9 5555500,Arenales 1938 3'A',No level,Auckland  ,No data,No direction,New Zealand,1612.0,110000.0
